CONFIG 39
benchmark_file: slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss
decoder_latency_or_dist_filename: lambda volume: volume*10.0
distance: 21
lightweight_setting: 1
max_parallel_processes: None
missed_speculation_modifier: 1.4
poison_policy: successors
rng: 0
scheduling_method: sliding
speculation_accuracy: 0.1
speculation_latency: 1
speculation_mode: separate
2024-11-18 21:57:15 | Loading benchmark slurm/data/20241118_215701/benchmarks/random_t_1000_200_0.lss...
2024-11-18 21:57:15 | Starting simulation
Failed to get source of decoding_latency_fn: could not get source code
2024-11-18 21:57:16 | Simulation update: decoder round 1, completed instructions: 0/4997, actively running or decoding instructions: 1, waiting windows: 0/0. Max active instruction index: 0
2024-11-18 21:57:26 | Simulation update: decoder round 17254, completed instructions: 9/4997, actively running or decoding instructions: 4, waiting windows: 122/825. Max active instruction index: 7
2024-11-18 21:57:36 | Simulation update: decoder round 25464, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 110/1217. Max active instruction index: 12
2024-11-18 21:57:46 | Simulation update: decoder round 33803, completed instructions: 14/4997, actively running or decoding instructions: 3, waiting windows: 111/1614. Max active instruction index: 12
2024-11-18 21:57:56 | Simulation update: decoder round 43564, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 114/2080. Max active instruction index: 17
2024-11-18 21:58:06 | Simulation update: decoder round 52028, completed instructions: 19/4997, actively running or decoding instructions: 3, waiting windows: 110/2483. Max active instruction index: 17
2024-11-18 21:58:16 | Simulation update: decoder round 59156, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 138/2866. Max active instruction index: 22
2024-11-18 21:58:26 | Simulation update: decoder round 65843, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 209/3502. Max active instruction index: 22
2024-11-18 21:58:36 | Simulation update: decoder round 70358, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 218/3932. Max active instruction index: 22
2024-11-18 21:58:46 | Simulation update: decoder round 74140, completed instructions: 25/4997, actively running or decoding instructions: 3, waiting windows: 244/4292. Max active instruction index: 22
2024-11-18 21:58:56 | Simulation update: decoder round 78266, completed instructions: 29/4997, actively running or decoding instructions: 4, waiting windows: 171/4583. Max active instruction index: 27
2024-11-18 21:59:06 | Simulation update: decoder round 82381, completed instructions: 29/4997, actively running or decoding instructions: 4, waiting windows: 135/4779. Max active instruction index: 27
2024-11-18 21:59:16 | Simulation update: decoder round 86497, completed instructions: 29/4997, actively running or decoding instructions: 4, waiting windows: 122/4975. Max active instruction index: 27
2024-11-18 21:59:26 | Simulation update: decoder round 91346, completed instructions: 29/4997, actively running or decoding instructions: 4, waiting windows: 111/5206. Max active instruction index: 27
2024-11-18 21:59:36 | Simulation update: decoder round 96887, completed instructions: 29/4997, actively running or decoding instructions: 4, waiting windows: 113/5470. Max active instruction index: 27
2024-11-18 21:59:46 | Simulation update: decoder round 101526, completed instructions: 29/4997, actively running or decoding instructions: 4, waiting windows: 111/5691. Max active instruction index: 27
2024-11-18 21:59:56 | Simulation update: decoder round 107609, completed instructions: 35/4997, actively running or decoding instructions: 4, waiting windows: 202/6199. Max active instruction index: 32
2024-11-18 22:00:06 | Simulation update: decoder round 112670, completed instructions: 35/4997, actively running or decoding instructions: 4, waiting windows: 214/6681. Max active instruction index: 32
2024-11-18 22:00:16 | Simulation update: decoder round 117937, completed instructions: 39/4997, actively running or decoding instructions: 4, waiting windows: 162/7080. Max active instruction index: 37
2024-11-18 22:00:26 | Simulation update: decoder round 122384, completed instructions: 39/4997, actively running or decoding instructions: 4, waiting windows: 122/7292. Max active instruction index: 37
2024-11-18 22:00:36 | Simulation update: decoder round 127769, completed instructions: 39/4997, actively running or decoding instructions: 4, waiting windows: 116/7548. Max active instruction index: 37
2024-11-18 22:00:46 | Simulation update: decoder round 132727, completed instructions: 39/4997, actively running or decoding instructions: 4, waiting windows: 118/7784. Max active instruction index: 37
2024-11-18 22:00:56 | Simulation update: decoder round 137981, completed instructions: 39/4997, actively running or decoding instructions: 2, waiting windows: 118/8035. Max active instruction index: 37
2024-11-18 22:01:06 | Simulation update: decoder round 144319, completed instructions: 44/4997, actively running or decoding instructions: 4, waiting windows: 115/8338. Max active instruction index: 42
